k_subset,language,best_single_evasion_rate,best_single_unsafe_recall,linguaguard_evasion_rate,linguaguard_unsafe_recall,absolute_evasion_reduction,relative_evasion_reduction,improvement_status
1,Somali,0.0,1.0,0.0,1.0,0.0,,same
1,Sorani Kurdish,0.0,1.0,0.0,1.0,0.0,,same
1,Swahili,0.047619047619047616,0.9523809523809523,0.047619047619047616,0.9523809523809523,0.0,0.0,same
1,Tajik,0.0,1.0,0.0,1.0,0.0,,same
1,Tamil,0.0,1.0,0.0,1.0,0.0,,same
1,Telugu,0.0,1.0,0.0,1.0,0.0,,same
1,Thai,0.0,1.0,0.0,1.0,0.0,,same
1,Turkish,0.0,1.0,0.0,1.0,0.0,,same
1,Ukrainian,0.0,1.0,0.0,1.0,0.0,,same
1,Urdu,0.0,1.0,0.0,1.0,0.0,,same
1,Vietnamese,0.0,1.0,0.0,1.0,0.0,,same
1,Welsh,0.0,1.0,0.0,1.0,0.0,,same
1,Wolof,0.0,1.0,0.0,1.0,0.0,,same
1,Xhosa,0.0,1.0,0.0,1.0,0.0,,same
1,Yoruba,0.0,1.0,0.0,1.0,0.0,,same
1,Zulu,0.0,1.0,0.0,1.0,0.0,,same
2,Tajik,0.8809523809523809,0.11904761904761904,0.023809523809523808,0.9761904761904762,0.8571428571428571,0.9729729729729729,improved
2,Maltese,0.6363636363636364,0.36363636363636365,0.0,1.0,0.6363636363636364,1.0,improved
2,Luo,0.6153846153846154,0.38461538461538464,0.0,1.0,0.6153846153846154,1.0,improved
2,Sorani Kurdish,0.5483870967741935,0.45161290322580644,0.0,1.0,0.5483870967741935,1.0,improved
2,Wolof,0.5333333333333333,0.4666666666666667,0.0,1.0,0.5333333333333333,1.0,improved
2,Northern Sotho,0.5128205128205128,0.48717948717948717,0.0,1.0,0.5128205128205128,1.0,improved
2,Shona,0.4857142857142857,0.5142857142857142,0.0,1.0,0.4857142857142857,1.0,improved
2,Nyanja,0.47619047619047616,0.5238095238095238,0.0,1.0,0.47619047619047616,1.0,improved
2,Ganda,0.4666666666666667,0.5333333333333333,0.0,1.0,0.4666666666666667,1.0,improved
2,Yoruba,0.4473684210526316,0.5526315789473685,0.0,1.0,0.4473684210526316,1.0,improved
2,Georgian,0.42857142857142855,0.5714285714285714,0.0,1.0,0.42857142857142855,1.0,improved
2,Igbo,0.4,0.6,0.0,1.0,0.4,1.0,improved
2,Fula,0.3888888888888889,0.6111111111111112,0.0,1.0,0.3888888888888889,1.0,improved
2,Malayalam,0.3939393939393939,0.6060606060606061,0.030303030303030304,0.9696969696969697,0.36363636363636365,0.9230769230769231,improved
2,Bulgarian,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,improved
2,Maori,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,improved
2,Swahili,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,improved
2,Lingala,0.3235294117647059,0.6764705882352942,0.0,1.0,0.3235294117647059,1.0,improved
2,Catalan,0.3142857142857143,0.6857142857142857,0.0,1.0,0.3142857142857143,1.0,improved
2,Xhosa,0.3125,0.6875,0.0,1.0,0.3125,1.0,improved
2,Latvian,0.2962962962962963,0.7037037037037037,0.0,1.0,0.2962962962962963,1.0,improved
2,English,0.2857142857142857,0.7142857142857143,0.0,1.0,0.2857142857142857,1.0,improved
2,Zulu,0.2727272727272727,0.7272727272727273,0.0,1.0,0.2727272727272727,1.0,improved
2,Hausa,0.2631578947368421,0.7368421052631579,0.0,1.0,0.2631578947368421,1.0,improved
2,Azerbaijani,0.25,0.75,0.0,1.0,0.25,1.0,improved
2,Japanese,0.32142857142857145,0.6785714285714286,0.07142857142857142,0.9285714285714286,0.25,0.7777777777777777,improved
2,Lithuanian,0.25,0.75,0.0,1.0,0.25,1.0,improved
2,Asturian,0.24444444444444444,0.7555555555555555,0.0,1.0,0.24444444444444444,1.0,improved
2,Bosnian,0.24324324324324326,0.7567567567567568,0.0,1.0,0.24324324324324326,1.0,improved
2,Portuguese,0.24324324324324326,0.7567567567567568,0.0,1.0,0.24324324324324326,1.0,improved
2,Welsh,0.24242424242424243,0.7575757575757576,0.0,1.0,0.24242424242424243,1.0,improved
2,Spanish,0.23076923076923078,0.7692307692307693,0.0,1.0,0.23076923076923078,1.0,improved
2,Gujarati,0.2564102564102564,0.7435897435897436,0.02564102564102564,0.9743589743589743,0.23076923076923075,0.9,improved
2,German,0.22857142857142856,0.7714285714285715,0.0,1.0,0.22857142857142856,1.0,improved
2,French,0.21875,0.78125,0.0,1.0,0.21875,1.0,improved
2,Malay,0.21875,0.78125,0.0,1.0,0.21875,1.0,improved
2,Russian,0.24324324324324326,0.7567567567567568,0.02702702702702703,0.972972972972973,0.21621621621621623,0.8888888888888888,improved
2,Danish,0.21212121212121213,0.7878787878787878,0.0,1.0,0.21212121212121213,1.0,improved
2,Mongolian,0.24242424242424243,0.7575757575757576,0.030303030303030304,0.9696969696969697,0.21212121212121213,0.875,improved
2,Kazakh,0.2916666666666667,0.7083333333333334,0.08333333333333333,0.9166666666666666,0.20833333333333337,0.7142857142857144,improved
2,Italian,0.20588235294117646,0.7941176470588235,0.0,1.0,0.20588235294117646,1.0,improved
2,Croatian,0.20512820512820512,0.7948717948717948,0.0,1.0,0.20512820512820512,1.0,improved
2,Estonian,0.2,0.8,0.0,1.0,0.2,1.0,improved
2,Greek,0.2,0.8,0.0,1.0,0.2,1.0,improved
2,Icelandic,0.2,0.8,0.0,1.0,0.2,1.0,improved
2,Serbian,0.21951219512195122,0.7804878048780488,0.024390243902439025,0.975609756097561,0.1951219512195122,0.888888888888889,improved
2,Occitan,0.19444444444444445,0.8055555555555556,0.0,1.0,0.19444444444444445,1.0,improved
2,Sindhi,0.1891891891891892,0.8108108108108109,0.0,1.0,0.1891891891891892,1.0,improved
2,Cebuano,0.1875,0.8125,0.0,1.0,0.1875,1.0,improved
2,Chinese (Simplified),0.21875,0.78125,0.03125,0.96875,0.1875,0.8571428571428571,improved
2,Irish,0.1875,0.8125,0.0,1.0,0.1875,1.0,improved
2,Indonesian,0.18421052631578946,0.8157894736842105,0.0,1.0,0.18421052631578946,1.0,improved
2,Macedonian,0.21052631578947367,0.7894736842105263,0.02631578947368421,0.9736842105263158,0.18421052631578946,0.875,improved
2,Galician,0.18181818181818182,0.8181818181818182,0.0,1.0,0.18181818181818182,1.0,improved
2,Hungarian,0.18181818181818182,0.8181818181818182,0.0,1.0,0.18181818181818182,1.0,improved
2,Finnish,0.1794871794871795,0.8205128205128205,0.0,1.0,0.1794871794871795,1.0,improved
2,Romanian,0.1794871794871795,0.8205128205128205,0.0,1.0,0.1794871794871795,1.0,improved
2,Dutch,0.17647058823529413,0.8235294117647058,0.0,1.0,0.17647058823529413,1.0,improved
2,Oromo,0.17647058823529413,0.8235294117647058,0.0,1.0,0.17647058823529413,1.0,improved
2,Pashto,0.20588235294117646,0.7941176470588235,0.029411764705882353,0.9705882352941176,0.1764705882352941,0.8571428571428571,improved
2,Slovenian,0.175,0.825,0.0,1.0,0.175,1.0,improved
2,Somali,0.16666666666666666,0.8333333333333334,0.0,1.0,0.16666666666666666,1.0,improved
2,Norwegian,0.16216216216216217,0.8378378378378378,0.0,1.0,0.16216216216216217,1.0,improved
2,Lao,0.21052631578947367,0.7894736842105263,0.05263157894736842,0.9473684210526315,0.15789473684210525,0.75,improved
2,Punjabi,0.2692307692307692,0.7307692307692307,0.11538461538461539,0.8846153846153846,0.15384615384615383,0.5714285714285714,improved
2,Amharic,0.15151515151515152,0.8484848484848485,0.0,1.0,0.15151515151515152,1.0,improved
2,Chinese (Traditional),0.18181818181818182,0.8181818181818182,0.030303030303030304,0.9696969696969697,0.15151515151515152,0.8333333333333334,improved
2,Nepali,0.30303030303030304,0.696969696969697,0.15151515151515152,0.8484848484848485,0.15151515151515152,0.5,improved
2,Turkish,0.15,0.85,0.0,1.0,0.15,1.0,improved
2,Afrikaans,0.14814814814814814,0.8518518518518519,0.0,1.0,0.14814814814814814,1.0,improved
2,Polish,0.14705882352941177,0.8529411764705882,0.0,1.0,0.14705882352941177,1.0,improved
2,Swedish,0.14705882352941177,0.8529411764705882,0.0,1.0,0.14705882352941177,1.0,improved
2,Slovak,0.14285714285714285,0.8571428571428571,0.0,1.0,0.14285714285714285,1.0,improved
2,Luxembourgish,0.13725490196078433,0.8627450980392157,0.0,1.0,0.13725490196078433,1.0,improved
2,Czech,0.13636363636363635,0.8636363636363636,0.0,1.0,0.13636363636363635,1.0,improved
2,Belarusian,0.15789473684210525,0.8421052631578947,0.02631578947368421,0.9736842105263158,0.13157894736842105,0.8333333333333334,improved
2,Persian,0.13157894736842105,0.868421052631579,0.0,1.0,0.13157894736842105,1.0,improved
2,Arabic,0.125,0.875,0.0,1.0,0.125,1.0,improved
2,Filipino (Tagalog),0.12121212121212122,0.8787878787878788,0.0,1.0,0.12121212121212122,1.0,improved
2,Assamese,0.16,0.84,0.04,0.96,0.12,0.75,improved
2,Armenian,0.11764705882352941,0.8823529411764706,0.0,1.0,0.11764705882352941,1.0,improved
2,Urdu,0.2647058823529412,0.7352941176470589,0.14705882352941177,0.8529411764705882,0.11764705882352941,0.4444444444444444,improved
2,Burmese,0.10714285714285714,0.8928571428571429,0.0,1.0,0.10714285714285714,1.0,improved
2,Hindi,0.10714285714285714,0.8928571428571429,0.0,1.0,0.10714285714285714,1.0,improved
2,Khmer,0.21052631578947367,0.7894736842105263,0.10526315789473684,0.8947368421052632,0.10526315789473684,0.5,improved
2,Korean,0.12903225806451613,0.8709677419354839,0.03225806451612903,0.967741935483871,0.0967741935483871,0.75,improved
2,Thai,0.12903225806451613,0.8709677419354839,0.03225806451612903,0.967741935483871,0.0967741935483871,0.75,improved
2,Javanese,0.08695652173913043,0.9130434782608695,0.0,1.0,0.08695652173913043,1.0,improved
2,Telugu,0.14285714285714285,0.8571428571428571,0.05714285714285714,0.9428571428571428,0.08571428571428572,0.6000000000000001,improved
2,Oriya (Odia),0.0975609756097561,0.9024390243902439,0.024390243902439025,0.975609756097561,0.07317073170731708,0.7500000000000001,improved
2,Marathi,0.17857142857142858,0.8214285714285714,0.10714285714285714,0.8928571428571429,0.07142857142857144,0.4,improved
2,Bengali,0.13793103448275862,0.8620689655172413,0.06896551724137931,0.9310344827586207,0.06896551724137931,0.5,improved
2,Ukrainian,0.1,0.9,0.03333333333333333,0.9666666666666667,0.06666666666666668,0.6666666666666667,improved
2,Vietnamese,0.08823529411764706,0.9117647058823529,0.029411764705882353,0.9705882352941176,0.05882352941176471,0.6666666666666667,improved
2,Kannada,0.16216216216216217,0.8378378378378378,0.10810810810810811,0.8918918918918919,0.05405405405405406,0.3333333333333333,improved
2,Hebrew,0.13157894736842105,0.868421052631579,0.07894736842105263,0.9210526315789473,0.05263157894736842,0.4,improved
2,Tamil,0.18181818181818182,0.8181818181818182,0.15151515151515152,0.8484848484848485,0.030303030303030304,0.16666666666666666,improved
2,Kyrgyz,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.9285714285714286,0.0,0.0,same
3,Thai,0.7547169811320755,0.24528301886792453,0.05660377358490566,0.9433962264150944,0.6981132075471699,0.925,improved
3,Mongolian,0.9183673469387755,0.08163265306122448,0.3877551020408163,0.6122448979591837,0.5306122448979592,0.5777777777777778,improved
3,Persian,0.48936170212765956,0.5106382978723404,0.10638297872340426,0.8936170212765957,0.3829787234042553,0.782608695652174,improved
3,Hebrew,0.3695652173913043,0.6304347826086957,0.10869565217391304,0.8913043478260869,0.2608695652173913,0.7058823529411765,improved
3,Bengali,0.2830188679245283,0.7169811320754716,0.03773584905660377,0.9622641509433962,0.24528301886792453,0.8666666666666667,improved
3,Arabic,0.25,0.75,0.041666666666666664,0.9583333333333334,0.20833333333333334,0.8333333333333334,improved
3,Russian,0.22448979591836735,0.7755102040816326,0.02040816326530612,0.9795918367346939,0.20408163265306123,0.9090909090909091,improved
3,Assamese,0.24489795918367346,0.7551020408163265,0.061224489795918366,0.9387755102040817,0.18367346938775508,0.7499999999999999,improved
3,Chinese (Simplified),0.13333333333333333,0.8666666666666667,0.0,1.0,0.13333333333333333,1.0,improved
3,Malayalam,0.16666666666666666,0.8333333333333334,0.041666666666666664,0.9583333333333334,0.125,0.75,improved
3,Swedish,0.16326530612244897,0.8367346938775511,0.061224489795918366,0.9387755102040817,0.1020408163265306,0.625,improved
3,Gujarati,0.043478260869565216,0.9565217391304348,0.0,1.0,0.043478260869565216,1.0,improved
3,Spanish,0.04,0.96,0.0,1.0,0.04,1.0,improved
3,Norwegian,0.038461538461538464,0.9615384615384616,0.0,1.0,0.038461538461538464,1.0,improved
3,Slovenian,0.05128205128205128,0.9487179487179487,0.02564102564102564,0.9743589743589743,0.02564102564102564,0.5,improved
3,Vietnamese,0.022727272727272728,0.9772727272727273,0.0,1.0,0.022727272727272728,1.0,improved
3,Portuguese,0.022222222222222223,0.9777777777777777,0.0,1.0,0.022222222222222223,1.0,improved
3,Korean,0.021739130434782608,0.9782608695652174,0.0,1.0,0.021739130434782608,1.0,improved
3,Galician,0.02127659574468085,0.9787234042553191,0.0,1.0,0.02127659574468085,1.0,improved
3,Malay,0.02127659574468085,0.9787234042553191,0.0,1.0,0.02127659574468085,1.0,improved
3,Amharic,0.041666666666666664,0.9583333333333334,0.020833333333333332,0.9791666666666666,0.020833333333333332,0.5,improved
3,Marathi,0.020833333333333332,0.9791666666666666,0.0,1.0,0.020833333333333332,1.0,improved
3,Macedonian,0.02040816326530612,0.9795918367346939,0.0,1.0,0.02040816326530612,1.0,improved
3,Turkish,0.02040816326530612,0.9795918367346939,0.0,1.0,0.02040816326530612,1.0,improved
3,Luo,0.04,0.96,0.02,0.98,0.02,0.5,improved
3,Romanian,0.02,0.98,0.0,1.0,0.02,1.0,improved
3,Czech,0.0196078431372549,0.9803921568627451,0.0,1.0,0.0196078431372549,1.0,improved
3,Danish,0.0196078431372549,0.9803921568627451,0.0,1.0,0.0196078431372549,1.0,improved
3,Ukrainian,0.0392156862745098,0.9607843137254902,0.0196078431372549,0.9803921568627451,0.0196078431372549,0.5,improved
3,German,0.019230769230769232,0.9807692307692307,0.0,1.0,0.019230769230769232,1.0,improved
3,Oriya (Odia),0.019230769230769232,0.9807692307692307,0.0,1.0,0.019230769230769232,1.0,improved
3,Lao,0.017857142857142856,0.9821428571428571,0.0,1.0,0.017857142857142856,1.0,improved
3,Filipino (Tagalog),0.017241379310344827,0.9827586206896551,0.0,1.0,0.017241379310344827,1.0,improved
3,Italian,0.03389830508474576,0.9661016949152542,0.01694915254237288,0.9830508474576272,0.01694915254237288,0.5,improved
3,Occitan,0.01694915254237288,0.9830508474576272,0.0,1.0,0.01694915254237288,1.0,improved
3,Afrikaans,0.0,1.0,0.0,1.0,0.0,,same
3,Armenian,0.0,1.0,0.0,1.0,0.0,,same
3,Asturian,0.0,1.0,0.0,1.0,0.0,,same
3,Azerbaijani,0.0,1.0,0.0,1.0,0.0,,same
3,Belarusian,0.0,1.0,0.0,1.0,0.0,,same
3,Bosnian,0.0,1.0,0.0,1.0,0.0,,same
3,Bulgarian,0.0,1.0,0.0,1.0,0.0,,same
3,Burmese,0.0,1.0,0.0,1.0,0.0,,same
3,Catalan,0.0,1.0,0.0,1.0,0.0,,same
3,Cebuano,0.0,1.0,0.0,1.0,0.0,,same
3,Chinese (Traditional),0.0,1.0,0.0,1.0,0.0,,same
3,Croatian,0.0,1.0,0.0,1.0,0.0,,same
3,Dutch,0.0,1.0,0.0,1.0,0.0,,same
3,English,0.0,1.0,0.0,1.0,0.0,,same
3,Estonian,0.0,1.0,0.0,1.0,0.0,,same
3,Finnish,0.0,1.0,0.0,1.0,0.0,,same
3,French,0.018867924528301886,0.9811320754716981,0.018867924528301886,0.9811320754716981,0.0,0.0,same
3,Fula,0.0,1.0,0.0,1.0,0.0,,same
3,Ganda,0.0,1.0,0.0,1.0,0.0,,same
3,Georgian,0.0,1.0,0.0,1.0,0.0,,same
3,Greek,0.0,1.0,0.0,1.0,0.0,,same
3,Hausa,0.0,1.0,0.0,1.0,0.0,,same
3,Hindi,0.0196078431372549,0.9803921568627451,0.0196078431372549,0.9803921568627451,0.0,0.0,same
3,Hungarian,0.023809523809523808,0.9761904761904762,0.023809523809523808,0.9761904761904762,0.0,0.0,same
3,Icelandic,0.0,1.0,0.0,1.0,0.0,,same
3,Igbo,0.015873015873015872,0.9841269841269841,0.015873015873015872,0.9841269841269841,0.0,0.0,same
3,Indonesian,0.0,1.0,0.0,1.0,0.0,,same
3,Irish,0.0,1.0,0.0,1.0,0.0,,same
3,Japanese,0.0,1.0,0.0,1.0,0.0,,same
3,Javanese,0.0,1.0,0.0,1.0,0.0,,same
3,Kannada,0.0,1.0,0.0,1.0,0.0,,same
3,Kazakh,0.0,1.0,0.0,1.0,0.0,,same
3,Khmer,0.0,1.0,0.0,1.0,0.0,,same
3,Kyrgyz,0.0,1.0,0.0,1.0,0.0,,same
3,Latvian,0.0,1.0,0.0,1.0,0.0,,same
3,Lingala,0.0,1.0,0.0,1.0,0.0,,same
3,Lithuanian,0.0,1.0,0.0,1.0,0.0,,same
3,Luxembourgish,0.0,1.0,0.0,1.0,0.0,,same
3,Maltese,0.0,1.0,0.0,1.0,0.0,,same
3,Maori,0.0,1.0,0.0,1.0,0.0,,same
3,Nepali,0.0,1.0,0.0,1.0,0.0,,same
3,Northern Sotho,0.0,1.0,0.0,1.0,0.0,,same
3,Nyanja,0.03636363636363636,0.9636363636363636,0.03636363636363636,0.9636363636363636,0.0,0.0,same
3,Oromo,0.0,1.0,0.0,1.0,0.0,,same
3,Pashto,0.0,1.0,0.0,1.0,0.0,,same
3,Polish,0.0,1.0,0.0,1.0,0.0,,same
3,Punjabi,0.0,1.0,0.0,1.0,0.0,,same
3,Serbian,0.0,1.0,0.0,1.0,0.0,,same
3,Shona,0.0,1.0,0.0,1.0,0.0,,same
3,Sindhi,0.0,1.0,0.0,1.0,0.0,,same
3,Slovak,0.0,1.0,0.0,1.0,0.0,,same
3,Somali,0.0,1.0,0.0,1.0,0.0,,same
3,Sorani Kurdish,0.0,1.0,0.0,1.0,0.0,,same
3,Swahili,0.0,1.0,0.0,1.0,0.0,,same
3,Tajik,0.0,1.0,0.0,1.0,0.0,,same
3,Tamil,0.0,1.0,0.0,1.0,0.0,,same
3,Telugu,0.0,1.0,0.0,1.0,0.0,,same
3,Urdu,0.0,1.0,0.0,1.0,0.0,,same
3,Welsh,0.019230769230769232,0.9807692307692307,0.019230769230769232,0.9807692307692307,0.0,0.0,same
3,Wolof,0.0,1.0,0.0,1.0,0.0,,same
3,Xhosa,0.0,1.0,0.0,1.0,0.0,,same
3,Yoruba,0.0,1.0,0.0,1.0,0.0,,same
3,Zulu,0.015625,0.984375,0.015625,0.984375,0.0,0.0,same
