k_subset,language,category,count,language_resource_tier
1,Belarusian,Copyright/Trademark/Plagiarism,2,low
1,Belarusian,Criminal Planning/Confessions,3,low
1,Belarusian,Fraud/Deception,3,low
1,Belarusian,Guns and Illegal Weapons,3,low
1,Belarusian,Harassment,3,low
1,Belarusian,Hate/Identity Hate,3,low
1,Belarusian,High Risk Gov Decision Making,3,low
1,Belarusian,Illegal Activity,1,low
1,Belarusian,Malware,3,low
1,Belarusian,PII/Privacy,3,low
1,Belarusian,Political/Misinformation/Conspiracy,3,low
1,Belarusian,Profanity,3,low
1,Belarusian,Sexual,3,low
1,Belarusian,Sexual (minor),3,low
1,Belarusian,Suicide and Self Harm,3,low
1,Belarusian,Threat,3,low
1,Belarusian,Unauthorized Advice,3,low
1,Belarusian,Violence,3,low
1,Bengali,Controlled/Regulated Substances,3,medium
1,Bengali,Copyright/Trademark/Plagiarism,3,medium
1,Bengali,Criminal Planning/Confessions,3,medium
1,Bengali,Fraud/Deception,3,medium
1,Bengali,Guns and Illegal Weapons,3,medium
1,Bengali,Harassment,3,medium
1,Bengali,Hate/Identity Hate,3,medium
1,Bengali,High Risk Gov Decision Making,2,medium
1,Bengali,Illegal Activity,1,medium
1,Bengali,Malware,3,medium
1,Bengali,PII/Privacy,3,medium
1,Bengali,Political/Misinformation/Conspiracy,3,medium
1,Bengali,Profanity,3,medium
1,Bengali,Sexual,3,medium
1,Bengali,Sexual (minor),2,medium
1,Bengali,Suicide and Self Harm,3,medium
1,Bengali,Threat,3,medium
1,Bengali,Unauthorized Advice,3,medium
1,Bengali,Violence,3,medium
1,Bosnian,Controlled/Regulated Substances,3,low
1,Bosnian,Copyright/Trademark/Plagiarism,3,low
1,Bosnian,Criminal Planning/Confessions,3,low
1,Bosnian,Fraud/Deception,3,low
1,Bosnian,Guns and Illegal Weapons,3,low
1,Bosnian,Harassment,3,low
1,Bosnian,Hate/Identity Hate,3,low
1,Bosnian,High Risk Gov Decision Making,3,low
1,Bosnian,Illegal Activity,1,low
1,Bosnian,Malware,3,low
1,Bosnian,PII/Privacy,3,low
1,Bosnian,Political/Misinformation/Conspiracy,3,low
1,Bosnian,Profanity,3,low
1,Bosnian,Sexual,3,low
1,Bosnian,Sexual (minor),3,low
1,Bosnian,Suicide and Self Harm,3,low
1,Bosnian,Threat,3,low
1,Bosnian,Unauthorized Advice,3,low
1,Bosnian,Violence,3,low
1,Bulgarian,Controlled/Regulated Substances,3,medium
1,Bulgarian,Copyright/Trademark/Plagiarism,3,medium
1,Bulgarian,Criminal Planning/Confessions,3,medium
1,Bulgarian,Fraud/Deception,3,medium
1,Bulgarian,Guns and Illegal Weapons,3,medium
1,Bulgarian,Harassment,3,medium
1,Bulgarian,Hate/Identity Hate,3,medium
1,Bulgarian,High Risk Gov Decision Making,2,medium
1,Bulgarian,Illegal Activity,1,medium
1,Bulgarian,Malware,3,medium
1,Bulgarian,PII/Privacy,3,medium
1,Bulgarian,Political/Misinformation/Conspiracy,3,medium
1,Bulgarian,Profanity,3,medium
1,Bulgarian,Sexual,3,medium
1,Bulgarian,Sexual (minor),3,medium
1,Bulgarian,Suicide and Self Harm,3,medium
1,Bulgarian,Threat,3,medium
1,Bulgarian,Unauthorized Advice,3,medium
1,Bulgarian,Violence,3,medium
1,Burmese,Controlled/Regulated Substances,3,low
1,Burmese,Copyright/Trademark/Plagiarism,3,low
1,Burmese,Criminal Planning/Confessions,3,low
1,Burmese,Fraud/Deception,3,low
1,Burmese,Guns and Illegal Weapons,3,low
1,Burmese,Harassment,3,low
1,Burmese,Hate/Identity Hate,3,low
1,Burmese,High Risk Gov Decision Making,2,low
1,Burmese,Illegal Activity,1,low
1,Burmese,Malware,3,low
1,Burmese,PII/Privacy,3,low
1,Burmese,Political/Misinformation/Conspiracy,3,low
1,Burmese,Profanity,3,low
1,Burmese,Sexual,3,low
1,Burmese,Sexual (minor),2,low
1,Burmese,Suicide and Self Harm,3,low
1,Burmese,Threat,3,low
1,Burmese,Unauthorized Advice,2,low
1,Burmese,Violence,3,low
1,Catalan,Controlled/Regulated Substances,3,low
1,Catalan,Copyright/Trademark/Plagiarism,3,low
1,Catalan,Criminal Planning/Confessions,3,low
1,Catalan,Fraud/Deception,3,low
1,Catalan,Guns and Illegal Weapons,3,low
1,Catalan,Harassment,3,low
1,Catalan,Hate/Identity Hate,3,low
1,Catalan,High Risk Gov Decision Making,3,low
1,Catalan,Illegal Activity,1,low
1,Catalan,Malware,3,low
1,Catalan,PII/Privacy,3,low
1,Catalan,Political/Misinformation/Conspiracy,3,low
1,Catalan,Profanity,3,low
1,Catalan,Sexual,3,low
1,Catalan,Sexual (minor),3,low
1,Catalan,Suicide and Self Harm,3,low
1,Catalan,Threat,3,low
1,Catalan,Unauthorized Advice,3,low
1,Catalan,Violence,3,low
1,Cebuano,Controlled/Regulated Substances,4,low
1,Cebuano,Copyright/Trademark/Plagiarism,4,low
1,Cebuano,Criminal Planning/Confessions,4,low
1,Cebuano,Fraud/Deception,4,low
1,Cebuano,Guns and Illegal Weapons,4,low
1,Cebuano,Harassment,4,low
1,Cebuano,Hate/Identity Hate,4,low
1,Cebuano,High Risk Gov Decision Making,3,low
1,Cebuano,Illegal Activity,1,low
1,Cebuano,Malware,4,low
1,Cebuano,PII/Privacy,4,low
1,Cebuano,Political/Misinformation/Conspiracy,4,low
1,Cebuano,Profanity,4,low
1,Cebuano,Sexual,4,low
1,Cebuano,Sexual (minor),4,low
1,Cebuano,Suicide and Self Harm,4,low
1,Cebuano,Threat,3,low
1,Cebuano,Unauthorized Advice,3,low
1,Cebuano,Violence,4,low
1,Chinese (Simplified),Controlled/Regulated Substances,3,high
1,Chinese (Simplified),Copyright/Trademark/Plagiarism,2,high
1,Chinese (Simplified),Criminal Planning/Confessions,3,high
1,Chinese (Simplified),Fraud/Deception,3,high
1,Chinese (Simplified),Guns and Illegal Weapons,3,high
1,Chinese (Simplified),Harassment,3,high
1,Chinese (Simplified),Hate/Identity Hate,3,high
1,Chinese (Simplified),High Risk Gov Decision Making,2,high
1,Chinese (Simplified),Illegal Activity,1,high
1,Chinese (Simplified),Malware,3,high
1,Chinese (Simplified),PII/Privacy,3,high
1,Chinese (Simplified),Political/Misinformation/Conspiracy,3,high
1,Chinese (Simplified),Profanity,3,high
1,Chinese (Simplified),Sexual,3,high
1,Chinese (Simplified),Sexual (minor),2,high
1,Chinese (Simplified),Suicide and Self Harm,3,high
1,Chinese (Simplified),Threat,2,high
1,Chinese (Simplified),Unauthorized Advice,3,high
1,Chinese (Simplified),Violence,3,high
1,Chinese (Traditional),Controlled/Regulated Substances,3,high
1,Chinese (Traditional),Copyright/Trademark/Plagiarism,2,high
1,Chinese (Traditional),Criminal Planning/Confessions,3,high
1,Chinese (Traditional),Fraud/Deception,3,high
1,Chinese (Traditional),Guns and Illegal Weapons,3,high
1,Chinese (Traditional),Harassment,3,high
1,Chinese (Traditional),Hate/Identity Hate,3,high
1,Chinese (Traditional),High Risk Gov Decision Making,1,high
1,Chinese (Traditional),Illegal Activity,1,high
1,Chinese (Traditional),Malware,2,high
1,Chinese (Traditional),PII/Privacy,3,high
1,Chinese (Traditional),Political/Misinformation/Conspiracy,3,high
1,Chinese (Traditional),Profanity,3,high
1,Chinese (Traditional),Sexual,3,high
1,Chinese (Traditional),Sexual (minor),2,high
1,Chinese (Traditional),Suicide and Self Harm,3,high
1,Chinese (Traditional),Threat,2,high
1,Chinese (Traditional),Unauthorized Advice,2,high
1,Chinese (Traditional),Violence,3,high
1,Croatian,Controlled/Regulated Substances,3,low
1,Croatian,Copyright/Trademark/Plagiarism,3,low
1,Croatian,Criminal Planning/Confessions,3,low
1,Croatian,Fraud/Deception,3,low
1,Croatian,Guns and Illegal Weapons,3,low
1,Croatian,Harassment,3,low
1,Croatian,Hate/Identity Hate,3,low
1,Croatian,High Risk Gov Decision Making,3,low
1,Croatian,Illegal Activity,1,low
1,Croatian,Malware,3,low
1,Croatian,PII/Privacy,3,low
1,Croatian,Political/Misinformation/Conspiracy,3,low
1,Croatian,Profanity,3,low
1,Croatian,Sexual,3,low
1,Croatian,Sexual (minor),3,low
1,Croatian,Suicide and Self Harm,3,low
1,Croatian,Threat,3,low
1,Croatian,Unauthorized Advice,3,low
1,Croatian,Violence,3,low
1,Czech,Controlled/Regulated Substances,3,medium
1,Czech,Copyright/Trademark/Plagiarism,3,medium
1,Czech,Criminal Planning/Confessions,3,medium
1,Czech,Fraud/Deception,3,medium
1,Czech,Guns and Illegal Weapons,3,medium
1,Czech,Harassment,3,medium
1,Czech,Hate/Identity Hate,3,medium
1,Czech,High Risk Gov Decision Making,3,medium
1,Czech,Illegal Activity,1,medium
1,Czech,Malware,3,medium
1,Czech,PII/Privacy,3,medium
1,Czech,Political/Misinformation/Conspiracy,3,medium
1,Czech,Profanity,3,medium
1,Czech,Sexual,3,medium
1,Czech,Sexual (minor),3,medium
1,Czech,Suicide and Self Harm,3,medium
1,Czech,Threat,3,medium
1,Czech,Unauthorized Advice,3,medium
1,Czech,Violence,3,medium
1,Danish,Controlled/Regulated Substances,3,medium
1,Danish,Copyright/Trademark/Plagiarism,3,medium
1,Danish,Criminal Planning/Confessions,3,medium
1,Danish,Fraud/Deception,3,medium
1,Danish,Guns and Illegal Weapons,3,medium
1,Danish,Harassment,3,medium
1,Danish,Hate/Identity Hate,3,medium
1,Danish,High Risk Gov Decision Making,3,medium
1,Danish,Illegal Activity,1,medium
1,Danish,Malware,3,medium
1,Danish,PII/Privacy,3,medium
1,Danish,Political/Misinformation/Conspiracy,3,medium
1,Danish,Profanity,3,medium
1,Danish,Sexual,3,medium
1,Danish,Sexual (minor),3,medium
1,Danish,Suicide and Self Harm,3,medium
1,Danish,Threat,3,medium
1,Danish,Unauthorized Advice,3,medium
1,Danish,Violence,3,medium
1,Dutch,Controlled/Regulated Substances,3,medium
1,Dutch,Copyright/Trademark/Plagiarism,3,medium
1,Dutch,Criminal Planning/Confessions,3,medium
1,Dutch,Fraud/Deception,3,medium
1,Dutch,Guns and Illegal Weapons,3,medium
1,Dutch,Harassment,3,medium
1,Dutch,Hate/Identity Hate,3,medium
1,Dutch,High Risk Gov Decision Making,2,medium
1,Dutch,Illegal Activity,1,medium
1,Dutch,Malware,3,medium
1,Dutch,PII/Privacy,3,medium
1,Dutch,Political/Misinformation/Conspiracy,3,medium
1,Dutch,Profanity,3,medium
1,Dutch,Sexual,3,medium
1,Dutch,Sexual (minor),3,medium
1,Dutch,Suicide and Self Harm,3,medium
1,Dutch,Threat,3,medium
1,Dutch,Unauthorized Advice,3,medium
1,Dutch,Violence,3,medium
1,English,Controlled/Regulated Substances,2,high
1,English,Copyright/Trademark/Plagiarism,1,high
1,English,Criminal Planning/Confessions,2,high
1,English,Fraud/Deception,1,high
1,English,Guns and Illegal Weapons,2,high
1,English,Harassment,1,high
1,English,Hate/Identity Hate,2,high
1,English,High Risk Gov Decision Making,1,high
1,English,Illegal Activity,1,high
1,English,Malware,1,high
1,English,PII/Privacy,2,high
1,English,Political/Misinformation/Conspiracy,1,high
1,English,Profanity,1,high
1,English,Sexual,2,high
1,English,Sexual (minor),1,high
1,English,Suicide and Self Harm,1,high
1,English,Threat,1,high
1,English,Unauthorized Advice,1,high
1,English,Violence,1,high
1,Estonian,Controlled/Regulated Substances,3,low
1,Estonian,Copyright/Trademark/Plagiarism,3,low
1,Estonian,Criminal Planning/Confessions,3,low
1,Estonian,Fraud/Deception,3,low
1,Estonian,Guns and Illegal Weapons,3,low
1,Estonian,Harassment,3,low
1,Estonian,Hate/Identity Hate,3,low
1,Estonian,High Risk Gov Decision Making,3,low
1,Estonian,Illegal Activity,1,low
1,Estonian,Malware,3,low
1,Estonian,PII/Privacy,3,low
1,Estonian,Political/Misinformation/Conspiracy,3,low
1,Estonian,Profanity,3,low
1,Estonian,Sexual,3,low
1,Estonian,Sexual (minor),3,low
1,Estonian,Suicide and Self Harm,3,low
1,Estonian,Threat,3,low
1,Estonian,Unauthorized Advice,3,low
1,Estonian,Violence,3,low
1,Filipino (Tagalog),Controlled/Regulated Substances,3,low
1,Filipino (Tagalog),Copyright/Trademark/Plagiarism,3,low
1,Filipino (Tagalog),Criminal Planning/Confessions,3,low
1,Filipino (Tagalog),Fraud/Deception,3,low
1,Filipino (Tagalog),Guns and Illegal Weapons,3,low
1,Filipino (Tagalog),Harassment,3,low
1,Filipino (Tagalog),Hate/Identity Hate,3,low
1,Filipino (Tagalog),High Risk Gov Decision Making,3,low
1,Filipino (Tagalog),Illegal Activity,1,low
1,Filipino (Tagalog),Malware,3,low
1,Filipino (Tagalog),PII/Privacy,3,low
1,Filipino (Tagalog),Political/Misinformation/Conspiracy,3,low
1,Filipino (Tagalog),Profanity,3,low
1,Filipino (Tagalog),Sexual,3,low
1,Filipino (Tagalog),Sexual (minor),3,low
1,Filipino (Tagalog),Suicide and Self Harm,3,low
1,Filipino (Tagalog),Threat,3,low
1,Filipino (Tagalog),Unauthorized Advice,3,low
1,Filipino (Tagalog),Violence,3,low
1,Finnish,Controlled/Regulated Substances,3,medium
1,Finnish,Copyright/Trademark/Plagiarism,3,medium
1,Finnish,Criminal Planning/Confessions,3,medium
1,Finnish,Fraud/Deception,3,medium
1,Finnish,Guns and Illegal Weapons,3,medium
1,Finnish,Harassment,3,medium
1,Finnish,Hate/Identity Hate,3,medium
1,Finnish,High Risk Gov Decision Making,2,medium
1,Finnish,Illegal Activity,1,medium
1,Finnish,Malware,3,medium
1,Finnish,PII/Privacy,3,medium
1,Finnish,Political/Misinformation/Conspiracy,3,medium
1,Finnish,Profanity,3,medium
1,Finnish,Sexual,3,medium
1,Finnish,Sexual (minor),3,medium
1,Finnish,Suicide and Self Harm,3,medium
1,Finnish,Threat,3,medium
1,Finnish,Unauthorized Advice,3,medium
1,Finnish,Violence,3,medium
1,French,Controlled/Regulated Substances,3,high
1,French,Copyright/Trademark/Plagiarism,3,high
1,French,Criminal Planning/Confessions,3,high
1,French,Fraud/Deception,3,high
1,French,Guns and Illegal Weapons,3,high
1,French,Harassment,3,high
1,French,Hate/Identity Hate,3,high
1,French,High Risk Gov Decision Making,3,high
1,French,Illegal Activity,1,high
1,French,Malware,3,high
1,French,PII/Privacy,3,high
1,French,Political/Misinformation/Conspiracy,3,high
1,French,Profanity,3,high
1,French,Sexual,3,high
1,French,Sexual (minor),3,high
1,French,Suicide and Self Harm,3,high
1,French,Threat,3,high
1,French,Unauthorized Advice,2,high
1,French,Violence,3,high
1,Fula,Controlled/Regulated Substances,4,low
1,Fula,Copyright/Trademark/Plagiarism,1,low
1,Fula,Criminal Planning/Confessions,4,low
1,Fula,Fraud/Deception,3,low
1,Fula,Guns and Illegal Weapons,4,low
1,Fula,Harassment,4,low
1,Fula,Hate/Identity Hate,4,low
1,Fula,High Risk Gov Decision Making,2,low
1,Fula,Illegal Activity,1,low
1,Fula,Malware,1,low
1,Fula,PII/Privacy,4,low
1,Fula,Political/Misinformation/Conspiracy,3,low
1,Fula,Profanity,3,low
1,Fula,Sexual,4,low
1,Fula,Sexual (minor),1,low
1,Fula,Suicide and Self Harm,4,low
1,Fula,Threat,2,low
1,Fula,Unauthorized Advice,2,low
1,Fula,Violence,4,low
1,Galician,Controlled/Regulated Substances,3,low
1,Galician,Copyright/Trademark/Plagiarism,3,low
1,Galician,Criminal Planning/Confessions,3,low
1,Galician,Fraud/Deception,3,low
1,Galician,Guns and Illegal Weapons,3,low
1,Galician,Harassment,3,low
1,Galician,Hate/Identity Hate,3,low
1,Galician,High Risk Gov Decision Making,3,low
1,Galician,Illegal Activity,1,low
1,Galician,Malware,3,low
1,Galician,PII/Privacy,3,low
1,Galician,Political/Misinformation/Conspiracy,3,low
1,Galician,Profanity,3,low
1,Galician,Sexual,3,low
1,Galician,Sexual (minor),3,low
1,Galician,Suicide and Self Harm,3,low
1,Galician,Threat,3,low
1,Galician,Unauthorized Advice,3,low
1,Galician,Violence,3,low
1,Ganda,Controlled/Regulated Substances,4,low
1,Ganda,Copyright/Trademark/Plagiarism,3,low
1,Ganda,Criminal Planning/Confessions,4,low
1,Ganda,Fraud/Deception,4,low
1,Ganda,Guns and Illegal Weapons,4,low
1,Ganda,Harassment,4,low
1,Ganda,Hate/Identity Hate,4,low
1,Ganda,High Risk Gov Decision Making,2,low
1,Ganda,Illegal Activity,1,low
1,Ganda,Malware,2,low
1,Ganda,PII/Privacy,4,low
1,Ganda,Political/Misinformation/Conspiracy,4,low
1,Ganda,Profanity,4,low
1,Ganda,Sexual,4,low
1,Ganda,Sexual (minor),2,low
1,Ganda,Suicide and Self Harm,4,low
1,Ganda,Threat,2,low
1,Ganda,Unauthorized Advice,3,low
1,Ganda,Violence,4,low
1,Georgian,Controlled/Regulated Substances,3,low
1,Georgian,Copyright/Trademark/Plagiarism,3,low
1,Georgian,Criminal Planning/Confessions,3,low
1,Georgian,Fraud/Deception,3,low
1,Georgian,Guns and Illegal Weapons,2,low
1,Georgian,Harassment,3,low
1,Georgian,Hate/Identity Hate,3,low
1,Georgian,High Risk Gov Decision Making,2,low
1,Georgian,Illegal Activity,1,low
1,Georgian,Malware,2,low
1,Georgian,PII/Privacy,3,low
1,Georgian,Political/Misinformation/Conspiracy,3,low
1,Georgian,Profanity,2,low
1,Georgian,Sexual,3,low
1,Georgian,Sexual (minor),2,low
1,Georgian,Suicide and Self Harm,3,low
1,Georgian,Threat,1,low
1,Georgian,Unauthorized Advice,2,low
1,Georgian,Violence,3,low
1,German,Controlled/Regulated Substances,3,high
1,German,Copyright/Trademark/Plagiarism,3,high
1,German,Criminal Planning/Confessions,3,high
1,German,Fraud/Deception,3,high
1,German,Guns and Illegal Weapons,3,high
1,German,Harassment,3,high
1,German,Hate/Identity Hate,3,high
1,German,High Risk Gov Decision Making,2,high
1,German,Illegal Activity,1,high
1,German,Malware,3,high
1,German,PII/Privacy,3,high
1,German,Political/Misinformation/Conspiracy,3,high
1,German,Profanity,3,high
1,German,Sexual,3,high
1,German,Sexual (minor),3,high
1,German,Suicide and Self Harm,3,high
1,German,Threat,3,high
1,German,Unauthorized Advice,3,high
1,German,Violence,3,high
1,Greek,Controlled/Regulated Substances,3,medium
1,Greek,Copyright/Trademark/Plagiarism,3,medium
1,Greek,Criminal Planning/Confessions,3,medium
1,Greek,Fraud/Deception,3,medium
1,Greek,Guns and Illegal Weapons,3,medium
1,Greek,Harassment,3,medium
1,Greek,Hate/Identity Hate,3,medium
1,Greek,High Risk Gov Decision Making,3,medium
1,Greek,Illegal Activity,1,medium
1,Greek,Malware,3,medium
1,Greek,PII/Privacy,3,medium
1,Greek,Political/Misinformation/Conspiracy,3,medium
1,Greek,Profanity,3,medium
1,Greek,Sexual,3,medium
1,Greek,Sexual (minor),3,medium
1,Greek,Suicide and Self Harm,3,medium
1,Greek,Threat,3,medium
1,Greek,Unauthorized Advice,3,medium
1,Greek,Violence,3,medium
1,Gujarati,Controlled/Regulated Substances,3,low
1,Gujarati,Copyright/Trademark/Plagiarism,3,low
1,Gujarati,Criminal Planning/Confessions,3,low
1,Gujarati,Fraud/Deception,3,low
1,Gujarati,Guns and Illegal Weapons,3,low
1,Gujarati,Harassment,3,low
1,Gujarati,Hate/Identity Hate,4,low
1,Gujarati,High Risk Gov Decision Making,3,low
1,Gujarati,Illegal Activity,1,low
1,Gujarati,Malware,3,low
1,Gujarati,PII/Privacy,3,low
1,Gujarati,Political/Misinformation/Conspiracy,3,low
1,Gujarati,Profanity,3,low
1,Gujarati,Sexual,3,low
1,Gujarati,Sexual (minor),3,low
1,Gujarati,Suicide and Self Harm,3,low
1,Gujarati,Threat,3,low
1,Gujarati,Unauthorized Advice,3,low
1,Gujarati,Violence,3,low
1,Hausa,Controlled/Regulated Substances,3,low
1,Hausa,Copyright/Trademark/Plagiarism,2,low
1,Hausa,Criminal Planning/Confessions,3,low
1,Hausa,Fraud/Deception,2,low
1,Hausa,Guns and Illegal Weapons,2,low
1,Hausa,Harassment,2,low
1,Hausa,Hate/Identity Hate,3,low
1,Hausa,High Risk Gov Decision Making,2,low
1,Hausa,Illegal Activity,1,low
1,Hausa,Malware,1,low
1,Hausa,PII/Privacy,3,low
1,Hausa,Political/Misinformation/Conspiracy,2,low
1,Hausa,Profanity,2,low
1,Hausa,Sexual,2,low
1,Hausa,Sexual (minor),1,low
1,Hausa,Suicide and Self Harm,2,low
1,Hausa,Threat,1,low
1,Hausa,Unauthorized Advice,1,low
1,Hausa,Violence,2,low
1,Hebrew,Controlled/Regulated Substances,3,medium
1,Hebrew,Copyright/Trademark/Plagiarism,3,medium
1,Hebrew,Criminal Planning/Confessions,3,medium
1,Hebrew,Fraud/Deception,3,medium
1,Hebrew,Guns and Illegal Weapons,3,medium
1,Hebrew,Harassment,3,medium
1,Hebrew,Hate/Identity Hate,3,medium
1,Hebrew,High Risk Gov Decision Making,3,medium
1,Hebrew,Illegal Activity,1,medium
1,Hebrew,Malware,3,medium
1,Hebrew,PII/Privacy,3,medium
1,Hebrew,Political/Misinformation/Conspiracy,3,medium
1,Hebrew,Profanity,3,medium
1,Hebrew,Sexual,3,medium
1,Hebrew,Sexual (minor),3,medium
1,Hebrew,Suicide and Self Harm,3,medium
1,Hebrew,Threat,3,medium
1,Hebrew,Unauthorized Advice,3,medium
1,Hebrew,Violence,3,medium
1,Hindi,Controlled/Regulated Substances,3,medium
1,Hindi,Copyright/Trademark/Plagiarism,3,medium
1,Hindi,Criminal Planning/Confessions,3,medium
1,Hindi,Fraud/Deception,3,medium
1,Hindi,Guns and Illegal Weapons,3,medium
1,Hindi,Harassment,3,medium
1,Hindi,Hate/Identity Hate,3,medium
1,Hindi,High Risk Gov Decision Making,3,medium
1,Hindi,Illegal Activity,1,medium
1,Hindi,Malware,3,medium
1,Hindi,PII/Privacy,3,medium
1,Hindi,Political/Misinformation/Conspiracy,3,medium
1,Hindi,Profanity,3,medium
1,Hindi,Sexual,3,medium
1,Hindi,Sexual (minor),3,medium
1,Hindi,Suicide and Self Harm,3,medium
1,Hindi,Threat,3,medium
1,Hindi,Unauthorized Advice,3,medium
1,Hindi,Violence,3,medium
